날짜,실측값
1,4.450400278
2,11.341675356273896
3,3.7386324192988547
4,6.786879555709823
5,7.21867407150295
6,12.623605402231357
7,15.635464500176615
8,11.378292939936776
9,22.30948245918722
10,8.133975482
11,11.466134074331364
12,5.529861111111111
13,6.0548801667245575
14,9.253212921153178
15,12.720946416144747
16,10.362152777777778
17,4.538194444444445
18,7.598958333333333
19,16.52037947997189
20,12.984380423464074
21,15.333911836167998
22,5.3125
23,16.22716220910038
24,22.335185828412644
25,19.371745921555014
26,15.59375
27,27.460763888888888
28,25.98923984727525
29,29.43075321069073
30,29.71840277777778
31,33.88510933703575
32,33.71537660534537
33,33.967013888888886
34,27.481069815908302
35,27.587152777777778
36,37.105518917042694
37,49.40749739673724
38,39.229166666666664
39,46.353125
40,35.92735488355926
41,44.702083333333334
42,38.75251648733079
43,35.396390142311695
44,27.576188823325236
45,19.469444444444445
46,26.432141617493926
47,15.929092805005213
48,17.595677936563263
49,30.713089005235602
50,19.360083740404747
