날짜,실측값
1,10.098923984727525
2,7.886111111111111
3,9.936480388753905
4,8.830614370010412
5,2.8917042693509196
6,14.553644553644554
7,25.06004859423811
8,18.5406261
9,17.747624076029567
10,6.295383547379382
11,5.1896705253784505
12,5.661217391304348
13,3.96875
14,7.743830378866876
15,0.06604101494612444
16,7.081944444444445
17,9.26388888888889
18,5.491319444444445
19,11.651195499296765
20,14.680666435265532
21,21.246875
22,10.291218326969803
23,21.807291666666668
24,28.54564387365498
25,27.696633113502255
26,25.039930555555557
27,33.05623047552933
28,27.803540437348143
29,34.59582608695652
30,25.91111111111111
31,32.02256161055189
32,21.01423116973273
33,25.648385977091287
34,26.536619229434223
35,74.39356254572056
36,467.6400702987698
37,212.98472752516489
38,89.93861178932683
39,46.63589031586255
40,31.481777160708088
41,43.96598403332176
42,34.81098662811709
43,31.271780631725097
44,23.98542172856647
45,18.300590072891357
46,19.15897257896564
47,12.709128774730996
48,15.588337382853176
49,18.778202013189865
50,8.248871919472405
